"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Anthony Black","ORL",78,1887,5.257539364825194,0,2.428609554310115,0.6672004270082733,0.02668801708033093,0,0.4536962903656258,0.1339155749636099,0.18533604887983707,0.00510204081632653
"Andrew Nembhard","IND",65,1881,3.5006435006435006,1,1.4157014157014156,0.28314028314028317,0,0,0.46332046332046334,0.09433962264150944,0.13480392156862744,0
"Nic Claxton","BKN",70,1880,4.14535666218035,0,1.80349932705249,0.4306864064602961,0,0,0.4037685060565276,0.10823909531502424,0.11204013377926421,0
"Cason Wallace","OKC",68,1876,0.9501797637390857,0,0.4622496147919877,0.17976373908577298,0,0,0.1027221366204417,0.036,0.06164383561643835,0
"Derrick Jones Jr.","LAC",77,1873,3.0954879328436515,0,1.6264428121720882,0.472193074501574,0,0,0.15739769150052466,0.09794628751974724,0.1497584541062802,0
"RJ Barrett","TOR",58,1869,7.941777323799796,1,4.162410623084781,0.8426966292134831,0.02553626149131767,0.02553626149131767,0.1787538304392237,0.1474820143884892,0.2022332506203474,0.0032679738562091504
"Rui Hachimura","LAL",59,1869,2.9838922630050173,0,1.5843675732770002,0.29046738843411674,0,0,0.052812252442566675,0.096,0.15873015873015872,0
"Buddy Hield","GSW",82,1864,1.6636340005198855,8,0.3379256563556018,0.12997140629061607,0.23394853132310892,0.07798284377436963,0.1819599688068625,0.0275,0.053061224489795916,0.016216216216216217
"Trey Murphy III","NOP",53,1854,5.935483870967742,11,2.6580645161290324,0.6709677419354839,0.025806451612903226,0,0.567741935483871,0.1134133042529989,0.21548117154811716,0.002277904328018223
"Zaccharie Risacher","ATL",75,1843,3.7884566488685483,3,1.703534197813374,0.43224002034070685,0.12712941774726672,0,0.15255530129672007,0.08633093525179857,0.13814432989690723,0.014326647564469915
"Andrew Wiggins","MIA",60,1842,6.833289018877958,2,2.8449880350970487,0.5849508109545334,0.4520074448285031,0.2127093858016485,0.3722414251528849,0.13319011815252416,0.18641114982578397,0.047619047619047616
"Isaiah Collier","UTA",71,1839,4.022988505747127,0,1.7502612330198537,0.4179728317659352,0,0,0.4702194357366771,0.11056105610561057,0.15331807780320367,0
"Keldon Johnson","SAS",77,1838,5.077204920177964,0,2.6432870976184244,0.8374771002355405,0,0,0.31405391258832765,0.12038140643623362,0.17876106194690267,0
"Royce O'Neale","PHX",75,1837,0.6961178045515395,0,0.29451137884872824,0.0535475234270415,0,0,0.08032128514056225,0.018998272884283247,0.07971014492753623,0
"P.J. Washington","DAL",57,1835,5.200945626477542,0,2.416600998161282,0.4990806409246126,0.026267402153926978,0,0.39401103230890466,0.12584573748308525,0.1843687374749499,0.004166666666666667
"CJ McCollum","NOP",56,1832,4.5371098872279045,3,1.8095987411487018,0.3671649619722004,0.13113034356150013,0.026226068712300026,0.44584316810910046,0.06987724268177525,0.11577181208053691,0.01079913606911447
"Dorian Finney-Smith","LAL",63,1821,1.2389867841409692,1,0.3579295154185022,0.08259911894273128,0.02753303964757709,0,0.24779735682819384,0.03139013452914798,0.09923664122137404,0.0031746031746031746
"Haywood Highsmith","MIA",74,1818,1.1927877947295422,0,0.49930651872399445,0.13869625520110956,0,0,0.13869625520110956,0.04455445544554455,0.10526315789473684,0
"Alex Sarr","WAS",67,1814,4.286827747466875,0,2.0265003897116136,0.28578851649779163,0,0,0.2338269680436477,0.08715083798882682,0.1407942238267148,0
"Kyrie Irving","DAL",50,1804,5.785347391186807,18,2.297918356312517,0.6758583400919167,0.1892403352257367,0,0.48661800486618007,0.09090909090909091,0.13157894736842105,0.01912568306010929
"Kyshawn George","WAS",68,1802,2.473404255319149,1,1.0372340425531914,0.18617021276595744,0,0,0.26595744680851063,0.06747404844290658,0.17410714285714285,0
"Cameron Johnson","BKN",57,1800,6.272651240591023,14,2.063005296905492,0.4460551993309172,0.25090604962364094,0.027878449958182325,0.7527181488709228,0.10209102091020911,0.18639798488664988,0.021634615384615384
"Duncan Robinson","MIA",74,1786,1.4833473271760425,4,0.279876854184159,0.055975370836831795,0.22390148334732718,0.027987685418415897,0.1399384270920795,0.02654867256637168,0.05319148936170213,0.0163265306122449
"Kris Dunn","LAC",74,1783,0.6100942872989462,0,0.2218524681087077,0.05546311702717693,0,0,0.11092623405435385,0.01805869074492099,0.0365296803652968,0
"Luka Dončić","LAL",50,1769,10.8397365532382,2,4.7200878155872665,1.2074643249176729,0.38419319429198684,0.027442371020856202,0.7409440175631175,0.1595197255574614,0.25595238095238093,0.02834008097165992
"Scoot Henderson","POR",66,1759,5.671806167400881,0,2.36784140969163,0.3854625550660793,0.05506607929515418,0,0.6057268722466961,0.11594202898550725,0.18695652173913044,0.006688963210702341
"Wendell Carter Jr.","ORL",68,1758,5.025847214244687,0,2.3262492820218266,0.48822515795519816,0,0,0.43078690407811604,0.14620938628158844,0.20454545454545456,0
"Collin Sexton","UTA",63,1758,6.933701657458563,7,3.2596685082872927,0.856353591160221,0,0,0.5248618784530387,0.12368972746331237,0.17276720351390923,0
"Mike Conley","MIN",71,1756,2.558271745309835,13,0.5969300739056282,0.028425241614553724,0.2274019329164298,0,0.17055144968732233,0.05846774193548387,0.11797752808988764,0.025157232704402517
