"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Jalen Duren","DET",78,2035,3.2411820781696856,1.7635843660629171,1.4775977121067683,0.5441176470588235,0.5004766444232602,0.21448999046711154,1.263107721639657,0.42897998093422307,0.023832221163012392,0.023832221163012392,0,0
"Jalen Wilson","BKN",79,2031,1.9651741293532339,1.0696517412935322,0.8955223880597015,0.5443037974683544,0.4228855721393035,0.29850746268656714,0.6467661691542289,0.14925373134328357,0.09950248756218906,0.024875621890547265,0.024875621890547265,0
"Miles Bridges","CHA",64,2029,3.259046249700455,2.420321111909897,0.8387251377905584,0.7426470588235294,1.1262880421758927,0.16774502755811166,1.2940330697340043,0.3354900551162233,0.14378145219266714,0,0,0
"Davion Mitchell","MIA",74,2027,3.13648615535408,2.0828228375398186,1.0536633178142611,0.6640625,0.5635873560401863,0.17152658662092624,1.5192354814996325,0.5635873560401863,0.02450379808870375,0,0.02450379808870375,0
"Franz Wagner","ORL",60,2023,3.4183799851374785,2.30369085954917,1.1146891255883082,0.6739130434782609,1.0651473866732721,0.32202130294773346,1.238543472875898,0.22293782511766164,0.24770869457517958,0,0.04954173891503592,0.02477086945751796
"Quentin Grimes","PHI",75,2013,3.4173533688802715,2.132816286960737,1.2845370819195348,0.624113475177305,0.872515753756665,0.3877847794474067,1.2603005332040718,0.36354823073194376,0.19389238972370335,0,0.07270964614638875,0
"Jordan Poole","WAS",68,2001,4.775280898876405,2.8792134831460676,1.896067415730337,0.6029411764705882,1.100187265917603,0.351123595505618,1.7790262172284643,0.6320224719101124,0.30430711610486894,0,0.11704119850187265,0
"Devin Vassell","SAS",64,1983,2.1458180931480126,1.2435991221653255,0.9022189709826871,0.5795454545454546,0.5120702267739575,0.1950743721043648,0.731528895391368,0.2194586686174104,0.17069007559131918,0,0.0975371860521824,0
"Draymond Green","GSW",68,1983,4.267844002943341,2.5999509443218054,1.6678930586215355,0.6091954022988506,0.17169487368162864,0.14716703458425312,2.4282560706401766,1.030169242089772,0.02452783909737552,0,0,0
"Klay Thompson","DAL",72,1965,2.185792349726776,1.4406358668653751,0.7451564828614009,0.6590909090909091,0.29806259314456035,0.12419274714356682,1.1425732737208147,0.19870839542970692,0.17386984600099353,0.024838549428713365,0.024838549428713365,0
"Tyrese Maxey","PHI",52,1960,3.124212648022172,1.9400352733686066,1.184177374653565,0.6209677419354839,0.8314436885865457,0.2015621063240111,1.1085915847820609,0.30234315948601664,0.25195263290501385,0,0.05039052658100277,0
"Norman Powell","LAC",60,1958,2.694610778443114,1.6467065868263473,1.0479041916167664,0.6111111111111112,0.7984031936127745,0.249500998003992,0.8483033932135728,0.1996007984031936,0.0998003992015968,0,0.17465069860279442,0.0249500998003992
"Yves Missi","NOP",73,1956,2.056684223727113,1.3544018058690745,0.7022824178580386,0.6585365853658537,0.5016302984700276,0.07524454477050414,0.852771507399047,0.1254075746175069,0.07524454477050414,0.02508151492350138,0.05016302984700276,0.07524454477050414
"Keon Ellis","SAC",80,1948,1.8233179250128402,1.027221366204417,0.7960965588084232,0.5633802816901409,0.3081664098613251,0.17976373908577298,0.7190549563430919,0.2824858757062147,0.1027221366204417,0,0.025680534155110426,0
"Bilal Coulibaly","WAS",59,1948,3.043584124665206,1.92354516678841,1.1200389578767957,0.632,0.7304601899196493,0.2191380569758948,1.1930849768687606,0.4626247869491113,0.09739469198928659,0,0.12174336498660823,0
"Kyle Kuzma","MIL",65,1936,3.5996055226824457,1.9723865877712032,1.6272189349112427,0.547945205479452,0.9615384615384616,0.41913214990138065,1.0108481262327416,0.41913214990138065,0.19723865877712032,0.02465483234714004,0.02465483234714004,0.09861932938856016
"Julian Champagnie","SAS",82,1932,1.834407535944472,1.0411502231036192,0.7932573128408528,0.5675675675675675,0.2974714923153198,0.07436787307882994,0.7436787307882995,0.22310361923648983,0.0991571641051066,0,0.17352503718393653,0
"Keon Johnson","BKN",79,1925,2.99974140160331,1.9136281355055598,1.0861132660977502,0.6379310344827587,0.6982156710628394,0.2844582363589346,1.2154124644427204,0.2844582363589346,0.12929919834497025,0,0.05171967933798811,0
"Naji Marshall","DAL",69,1919,2.8347253859782335,1.721083270058213,1.1136421159200203,0.6071428571428571,0.6580612503163756,0.30372057706909644,1.0630220197418374,0.43027081751455326,0.15186028853454822,0,0,0
"Guerschon Yabusele","PHI",70,1896,2.3095301300769844,1.008760286700292,1.3007698433766923,0.4367816091954023,0.5840191133528007,0.29200955667640033,0.4247411733474914,0.2654632333421821,0.2654632333421821,0.026546323334218212,0,0
"Jrue Holiday","BOS",62,1896,1.9974059662775616,1.2191958495460442,0.7782101167315175,0.6103896103896104,0.33722438391699094,0.10376134889753567,0.8819714656290532,0.4150453955901427,0.10376134889753567,0,0.07782101167315175,0
"Gary Trent Jr.","MIL",74,1893,1.0824742268041236,0.5670103092783505,0.5154639175257731,0.5238095238095238,0.28350515463917525,0.15463917525773196,0.28350515463917525,0,0.07731958762886598,0.02577319587628866,0.02577319587628866,0
"Josh Green","CHA",68,1887,1.819126819126819,0.8835758835758836,0.9355509355509356,0.4857142857142857,0.2338877338877339,0.05197505197505198,0.6496881496881497,0.4417879417879418,0.02598752598752599,0,0.07796257796257797,0
"Anthony Black","ORL",78,1887,3.7096343741659994,2.348545503069122,1.3610888710968776,0.6330935251798561,0.8273285294902589,0.26688017080330934,1.521216973578863,0.5604483586869495,0.16012810248198558,0,0.05337603416066186,0.02668801708033093
"Andrew Nembhard","IND",65,1881,2.8828828828828827,1.8532818532818534,1.0296010296010296,0.6428571428571429,0.797940797940798,0.2059202059202059,1.0553410553410554,0.36036036036036034,0.10296010296010295,0,0,0
"Nic Claxton","BKN",70,1880,2.34185733512786,0.9959623149394348,1.3458950201884252,0.42528735632183906,0.4845222072678331,0.026917900403768506,0.5114401076716016,0.21534320323014805,0.16150740242261102,0.05383580080753701,0.13458950201884254,0.026917900403768506
"Cason Wallace","OKC",68,1876,1.5151515151515151,1.1042629686697483,0.4108885464817668,0.7288135593220338,0.4879301489470981,0.025680534155110426,0.6163328197226502,0.15408320493066255,0.05136106831022085,0,0.025680534155110426,0.025680534155110426
"Derrick Jones Jr.","LAC",77,1873,1.7313746065057714,1.154249737670514,0.577124868835257,0.6666666666666666,0.577124868835257,0.07869884575026233,0.577124868835257,0.1311647429171039,0.07869884575026233,0,0,0.05246589716684155
