ShortName,PlusMinus,Minutes
"Donovan Mitchell, Jarrett Allen, De'Andre Hunter, Evan Mobley, Jaylon Tyson",2.1337126600284506,18
"Karl-Anthony Towns, OG Anunoby, Mikal Bridges, Miles McBride, Jordan Clarkson",-12.57309941520468,17
"Jock Landale, Ja Morant, John Konchar, Cam Spencer, Jaylen Wells",-28.57142857142857,17
"Cam Whitmore, Alex Sarr, Kyshawn George, Tre Johnson, CJ McCollum",-15.384615384615389,17
"Kris Dunn, Ivica Zubac, Derrick Jones Jr., Nicolas Batum, Bradley Beal",-52.94117647058823,17
"Jamal Murray, Bruce Brown, Peyton Watson, Tim Hardaway Jr., Nikola Jokić",7.692307692307693,17
"Miles Bridges, Tre Mann, Ryan Kalkbrenner, Kon Knueppel, Sion James",-4.411764705882348,17
"Karl-Anthony Towns, Josh Hart, Mikal Bridges, Landry Shamet, Miles McBride",-1.3899613899613854,17
"Quentin Grimes, Tyrese Maxey, Dominick Barlow, VJ Edgecombe, Andre Drummond",35.13513513513513,17
"Luke Kennard, Onyeka Okongwu, Vít Krejčí, Dyson Daniels, Mouhamed Gueye",14.154411764705884,17
"Kevin Huerter, Tre Jones, Josh Giddey, Matas Buzelis, Nikola Vučević",53.1294452347084,17
"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, VJ Edgecombe, Joel Embiid",11.92570869990226,17
"D'Angelo Russell, P.J. Washington, Naji Marshall, Max Christie, Anthony Davis",39.04761904761905,17
"P.J. Washington, Brandon Williams, Moussa Cisse, Max Christie, Cooper Flagg",-35.87223587223588,17
"Kelly Oubre Jr., Tyrese Maxey, Justin Edwards, VJ Edgecombe, Andre Drummond",64.41532258064515,17
"Donovan Mitchell, Jarrett Allen, Sam Merrill, Evan Mobley, Jaylon Tyson",55.55555555555554,17
"De'Aaron Fox, Luke Kornet, Devin Vassell, Julian Champagnie, Harrison Barnes",12.388591800356508,17
"Alperen Sengun, Jabari Smith Jr., Tari Eason, Amen Thompson, Reed Sheppard",3.030303030303031,16
"Ivica Zubac, Derrick Jones Jr., James Harden, Kawhi Leonard, Bogdan Bogdanović",-17.379679144385022,16
"Keldon Johnson, Devin Vassell, Victor Wembanyama, Stephon Castle, Harrison Barnes",-2.1212121212121104,16
"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, Justin Edwards, Andre Drummond",-35.56149732620321,16
"Tyus Jones, Goga Bitadze, Paolo Banchero, Anthony Black, da Silva",46.54654654654655,16
"Karl-Anthony Towns, OG Anunoby, Josh Hart, Jalen Brunson, Landry Shamet",3.8288288288288186,16
"D'Angelo Russell, Daniel Gafford, Naji Marshall, Max Christie, Cooper Flagg",21.88940092165899,16
"Kris Dunn, Ivica Zubac, John Collins, Kobe Sanders, James Harden",-2.941176470588232,16
"Drew Eubanks, Nique Clifford, Russell Westbrook, DeMar DeRozan, Dennis Schröder",-6.060606060606062,16
"Jaren Jackson Jr., Santi Aldama, Cedric Coward, Javon Small, Kentavious Caldwell-Pope",72.2943722943723,16
"Jonathan Kuminga, Al Horford, Stephen Curry, Jimmy Butler III, Draymond Green",-1.5151515151515156,16
"Karl-Anthony Towns, Josh Hart, Mikal Bridges, Landry Shamet, Jordan Clarkson",-2.2048364153627347,16
"Jaren Jackson Jr., Ja Morant, Santi Aldama, Jaylen Wells, Cedric Coward",-24.324324324324323,16
"Larry Nance Jr., Donovan Mitchell, Evan Mobley, Craig Porter Jr., Jaylon Tyson",35.294117647058826,16
"Jalen Pickett, Zeke Nnaji, Julian Strawther, Hunter Tyson, Spencer Jones",-10.91575091575092,16
"RJ Barrett, Immanuel Quickley, Scottie Barnes, Sandro Mamukelashvili, Gradey Dick",27.5,16
"Duncan Robinson, Javonte Green, Cade Cunningham, Jalen Duren, Daniss Jenkins",22.043010752688176,16
"Donovan Mitchell, Jarrett Allen, Dean Wade, Sam Merrill, Evan Mobley",35.48387096774192,16
"Tyus Jones, Wendell Carter Jr., Desmond Bane, Franz Wagner, Paolo Banchero",-51.96911196911198,16
"Terance Mann, Nic Claxton, Cam Thomas, Tyrese Martin, Noah Clowney",26.666666666666657,16
"Deni Avdija, Kris Murray, Toumani Camara, Jrue Holiday, Jerami Grant",17.647058823529406,16
"Donte DiVincenzo, Naz Reid, Jaden McDaniels, Rob Dillingham, Rudy Gobert",-18.951612903225808,16
"Alperen Sengun, Jabari Smith Jr., Amen Thompson, Reed Sheppard, Kevin Durant",74.99999999999999,15
"Kelly Oubre Jr., Tyrese Maxey, Trendon Watford, VJ Edgecombe, Joel Embiid",36.66666666666666,15
"Deandre Ayton, Rui Hachimura, Jake LaRavia, Dalton Knecht, Marcus Smart",-27.27272727272728,15
"Bobby Portis, Kyle Kuzma, Cole Anthony, AJ Green, Giannis Antetokounmpo",18.084066471163226,15
"Miles Bridges, Collin Sexton, Tre Mann, Moussa Diabaté, Sion James",-6.25,15
"Bobby Portis, Gary Trent Jr., Cole Anthony, Giannis Antetokounmpo, Gary Harris",-52.534562211981566,15
"Alex Caruso, Isaiah Hartenstein, Aaron Wiggins, Chet Holmgren, Ajay Mitchell",68.62068965517241,15
"Quentin Grimes, Tyrese Maxey, Trendon Watford, Justin Edwards, Andre Drummond",39.58944281524927,15
"Tari Eason, Amen Thompson, Reed Sheppard, Kevin Durant, Steven Adams",-0.3267973856209067,15
"Jamal Murray, Cameron Johnson, Zeke Nnaji, Peyton Watson, Nikola Jokić",-15.240641711229957,15
